koloniSistemKimlik,tarih,olayTipi,ilgiliKoloniSistemKimlik,aciklama,metaJson
KOL-001,2025-04-22,bolme_ile_olustu,KOL-017,13'den bölündü - şurup verildi.,"{""kaynakKoloniNo"": ""13"", ""resolvedKovanNo"": ""13""}"
KOL-002,2025-04-22,bolme_yapildi,KOL-016,Bölündü (12) - 1 petek ve şurup verildi.,"{""tureyenKoloniNo"": ""12"", ""resolvedKovanNo"": ""12""}"
KOL-002,2025-05-05,ogul_atti,KOL-021,Oğul atmış büyük ihtimalle. 11-16 no'lu kovandaki oğullar tahmin ediliyor. 2 çıta alındı. Ana memesi yapmış beslendi. 20 mayısa kadar besleme yapmayalım.,"{""tureyenKoloniNo"": ""11"", ""resolvedKovanNo"": ""11""}"
KOL-002,2025-05-05,ogul_atti,,Oğul atmış büyük ihtimalle. 11-16 no'lu kovandaki oğullar tahmin ediliyor. 2 çıta alındı. Ana memesi yapmış beslendi. 20 mayısa kadar besleme yapmayalım.,"{""tureyenKoloniNo"": ""16"", ""resolvedKovanNo"": """"}"
KOL-003,2025-04-22,bolme_yapildi,KOL-018,Bölündü (2-8) - 1 petek ve şurup verildi.,"{""tureyenKoloniNo"": ""2"", ""resolvedKovanNo"": ""2""}"
KOL-003,2025-04-22,bolme_yapildi,KOL-015,Bölündü (2-8) - 1 petek ve şurup verildi.,"{""tureyenKoloniNo"": ""8"", ""resolvedKovanNo"": ""39 (Eski 8)""}"
KOL-004,2025-06-08,bolme_yapildi,KOL-025,Bölündü. (5),"{""tureyenKoloniNo"": ""5"", ""resolvedKovanNo"": ""5""}"
KOL-005,2025-04-22,bolme_ile_olustu,KOL-014,26'dan bölündü - şurup verildi.,"{""kaynakKoloniNo"": ""26"", ""resolvedKovanNo"": ""26""}"
KOL-006,2025-04-22,bolme_ile_olustu,KOL-014,26'dan bölündü - şurup verildi.,"{""kaynakKoloniNo"": ""26"", ""resolvedKovanNo"": ""26""}"
KOL-007,2025-04-22,bolme_yapildi,KOL-012,Bölündü (10) - 1 petek ve şurup verildi.,"{""tureyenKoloniNo"": ""10"", ""resolvedKovanNo"": ""10""}"
KOL-007,2025-06-08,bolme_yapildi,KOL-015,Bölündü (39),"{""tureyenKoloniNo"": ""39"", ""resolvedKovanNo"": ""39 (Eski 8)""}"
KOL-008,2025-04-22,bolme_yapildi,KOL-010,Bölündü (14-4) - 1 petek ve şurup verildi.,"{""tureyenKoloniNo"": ""14"", ""resolvedKovanNo"": ""14""}"
KOL-008,2025-04-22,bolme_yapildi,KOL-011,Bölündü (14-4) - 1 petek ve şurup verildi.,"{""tureyenKoloniNo"": ""4"", ""resolvedKovanNo"": ""4""}"
KOL-009,2025-04-23,bolme_ile_olustu,KOL-020,31'den bölündü - şurup verildi.,"{""kaynakKoloniNo"": ""31"", ""resolvedKovanNo"": ""31""}"
KOL-010,2025-04-22,bolme_ile_olustu,KOL-008,22'den bölündü - şurup verildi.,"{""kaynakKoloniNo"": ""22"", ""resolvedKovanNo"": ""22""}"
KOL-011,2025-04-22,bolme_ile_olustu,KOL-008,22'den bölündü - şurup verildi.,"{""kaynakKoloniNo"": ""22"", ""resolvedKovanNo"": ""22""}"
KOL-012,2025-04-22,bolme_ile_olustu,KOL-007,3'den bölündü - şurup verildi.,"{""kaynakKoloniNo"": ""3"", ""resolvedKovanNo"": ""3""}"
KOL-013,2025-04-22,bolme_yapildi,KOL-019,Bölündü (30) - 1 petek ve şurup verildi.,"{""tureyenKoloniNo"": ""30"", ""resolvedKovanNo"": ""30""}"
KOL-014,2025-04-22,bolme_yapildi,KOL-006,Bölündü (6-1) - petek ve şurup verildi.,"{""tureyenKoloniNo"": ""6"", ""resolvedKovanNo"": ""6""}"
KOL-014,2025-04-22,bolme_yapildi,KOL-005,Bölündü (6-1) - petek ve şurup verildi.,"{""tureyenKoloniNo"": ""1"", ""resolvedKovanNo"": ""1""}"
KOL-015,2025-04-22,bolme_ile_olustu,KOL-003,19'dan bölündü - şurup verildi.,"{""kaynakKoloniNo"": ""19"", ""resolvedKovanNo"": ""19""}"
KOL-016,2025-04-22,bolme_ile_olustu,KOL-002,15'den bölündü - şurup verildi.,"{""kaynakKoloniNo"": ""15"", ""resolvedKovanNo"": ""15""}"
KOL-017,2025-04-22,bolme_yapildi,KOL-025,Bölündü (5-7) - 1 petek ve şurup verildi.,"{""tureyenKoloniNo"": ""5"", ""resolvedKovanNo"": ""5""}"
KOL-017,2025-04-22,bolme_yapildi,KOL-001,Bölündü (5-7) - 1 petek ve şurup verildi.,"{""tureyenKoloniNo"": ""7"", ""resolvedKovanNo"": ""7""}"
KOL-018,2025-04-22,bolme_ile_olustu,KOL-003,19'dan bölündü - şurup verildi.,"{""kaynakKoloniNo"": ""19"", ""resolvedKovanNo"": ""19""}"
KOL-019,2025-04-22,bolme_ile_olustu,KOL-013,25'den bölündü - şurup verildi.,"{""kaynakKoloniNo"": ""25"", ""resolvedKovanNo"": ""25""}"
KOL-020,2025-04-23,bolme_yapildi,KOL-009,Bölündü (9) - 1 kabarmış petek ve şurup verildi.,"{""tureyenKoloniNo"": ""9"", ""resolvedKovanNo"": ""9""}"
KOL-021,2025-05-01,ogul_yakalandi,KOL-002,"Oğul yakalandı. 15. Kovandan çıkmış. 3 Petek verildi. 2 Kara petek, 1 Temel Petek. Kek verildi.","{""kaynakKoloniNo"": ""15"", ""resolvedKovanNo"": ""15""}"
KOL-022,2025-05-03,ogul_yakalandi,KOL-002,"Oğul yakalandı. 15. Kovandan çıkmış. 3 Petek verildi. 2 Kara petek, 1 Temel Petek. Kek verildi.","{""kaynakKoloniNo"": ""15"", ""resolvedKovanNo"": ""15""}"
KOL-023,2025-05-09,ogul_yakalandi,,Oğul yakalandı. Ovadan..,"{""kaynakKoloniNo"": """", ""resolvedKovanNo"": """"}"
KOL-025,2025-04-22,bolme_ile_olustu,KOL-017,13'den bölündü - şurup verildi.,"{""kaynakKoloniNo"": ""13"", ""resolvedKovanNo"": ""13""}"
