sistemKimlik,arilikAd,kovanNo,anaYili,kaynakTipi,kaynakKoloni,kaynakKoloniId,kaynakKoloniIdResolved,ebeveynKoloniId,kokKoloniId,kaynakKovanNoSnapshot,ilkKovanNo,kovanNoGecmisi,genetik,rol,durum,olusturmaTarihi,sonCita,maxCitaKapasiye,bal_cita,skor,sahaSirasi,notMetni,kovanNoGosterim,eskiKovanNo,genetikOrijinal,kaynakKoloniNottan,kaynakVeriTemeli,correction_note
KOL-001,ULUKÖY ARILIK,7,2025,Bölme,13,,KOL-017,KOL-017,KOL-017,13,7,7,13B2025,Üretim,sondu,2025-04-22,0,4,0,0,0,,7,,13B2025,13,header,
KOL-002,ULUKÖY ARILIK,15,2024,Ana Hat,-,,,,KOL-002,,15,15,F2024,Ana Hat,aktif,2025-04-22,8,9,0,0,1,,15,,F2024,,header,
KOL-003,ULUKÖY ARILIK,19,2024,Ana Hat,-,,,,KOL-003,,19,19,F2024,Ana Hat,aktif,2025-04-22,9,12,2,0,2,,19,,F2024,,header,
KOL-004,ULUKÖY ARILIK,25,2025,Bölme,20,,,,KOL-004,20,20,20 -> 25,20B2025,Üretim,aktif,2025-04-22,8,14,0,0,3,,25 (Eski 20),20,20B2025,,header,
KOL-005,ULUKÖY ARILIK,1,2025,Bölme,26,,KOL-014,KOL-014,KOL-014,26,1,1,26B2025,Üretim,sondu,2025-04-22,0,8,0,0,4,,1,,26B2025,26,header,
KOL-006,ULUKÖY ARILIK,6,2025,Bölme,26,,KOL-014,KOL-014,KOL-014,26,6,6,26B2025,Üretim,sondu,2025-04-22,0,7,0,0,5,,6,,26B2025,26,header,
KOL-007,ULUKÖY ARILIK,3,2024,Ana Hat,-,,,,KOL-007,,3,3,F2024,Ana Hat,sondu,2025-04-22,0,25,9,0,6,,3,,F2024,,header,
KOL-008,ULUKÖY ARILIK,22,2024,Ana Hat,-,,,,KOL-008,,22,22,F2024,Ana Hat,aktif,2025-04-22,9,28,12,0,7,,22,,F2024,,header,
KOL-009,ULUKÖY ARILIK,9,2025,Bölme,31,,KOL-020,KOL-020,KOL-020,31,9,9,31B2025,Üretim,aktif,2025-04-23,7,8,1,0,8,,9,,31B2025,31,header,
KOL-010,ULUKÖY ARILIK,14,2025,Bölme,22,,KOL-008,KOL-008,KOL-008,22,14,14,22B2025,Üretim,aktif,2025-04-22,6,9,1,0,9,,14,,22B2025,22,header,
KOL-011,ULUKÖY ARILIK,4,2025,Bölme,22,,KOL-008,KOL-008,KOL-008,22,4,4,22B2025,Üretim,aktif,2025-04-22,8,8,2,0,10,,4,,22B2025,22,header,
KOL-012,ULUKÖY ARILIK,10,2025,Bölme,3,,KOL-007,KOL-007,KOL-007,3,10,10,3B2025,Üretim,sondu,2025-04-22,0,6,0,0,11,,10,,13B2025,3,first_note,Header kaynağı 13 iken ilk not kaynağı 3; not esas alındı.
KOL-013,ULUKÖY ARILIK,25,2024,Ana Hat,-,,,,KOL-013,,25,25,F2024,Ana Hat,sondu,2025-04-22,9,19,2,0,12,,25,,F2024,,header,
KOL-014,ULUKÖY ARILIK,26,2024,Ana Hat,-,,,,KOL-014,,26,26,F2024,Ana Hat,sondu,2025-04-22,8,19,6,0,13,,26,,F2024,,header,
KOL-015,ULUKÖY ARILIK,39,2025,Bölme,19,,KOL-003,KOL-003,KOL-003,19,8,8 -> 39,19B2025,Üretim,aktif,2025-04-22,7,18,2,0,14,,39 (Eski 8),8,19B2025,19,header,
KOL-016,ULUKÖY ARILIK,12,2025,Bölme,15,,KOL-002,KOL-002,KOL-002,15,12,12,15B2025,Üretim,aktif,2025-04-22,8,20,2,0,15,,12,,15B2025,15,header,
KOL-017,ULUKÖY ARILIK,13,2024,Ana Hat,-,,,,KOL-017,,13,13,F2024,Ana Hat,aktif,2025-04-22,8,24,6,0,16,,13,,F2024,,header,
KOL-018,ULUKÖY ARILIK,2,2025,Bölme,19,,KOL-003,KOL-003,KOL-003,19,2,2,19B2025,Üretim,aktif,2025-04-22,7,16,3,0,17,,2,,19B2025,19,header,
KOL-019,ULUKÖY ARILIK,30,2025,Bölme,25,,KOL-013,KOL-013,KOL-013,25,30,30,25B2025,Üretim,sondu,2025-04-22,7,7,0,0,18,,30,,25B2025,25,header,
KOL-020,ULUKÖY ARILIK,31,2024,Ana Hat,-,,,,KOL-020,,31,31,F2024,Ana Hat,aktif,2025-04-22,7,22,2,0,19,,31,,F2024,,header,
KOL-021,ULUKÖY ARILIK,11,2025,Oğul,15,,KOL-002,KOL-002,KOL-002,15,11,11,15O2025,Üretim,aktif,2025-05-01,8,19,1,0,20,,11,,15O2025,15,header,
KOL-022,ULUKÖY ARILIK,40,2025,Oğul,15,,KOL-002,KOL-002,KOL-002,15,40,40,15O2025,Üretim,aktif,2025-05-03,12,16,7,0,21,,40,,15O2025,15,header,
KOL-023,ULUKÖY ARILIK,26,2025,Oğul (Kaynak Bilinmiyor),Bilinmiyor,,,,KOL-023,,29,29 -> 26,XO2025,Üretim,aktif,2025-05-09,12,12,4,0,22,,26 (Eski 29),29,XO2025,,header,
KOL-024,ULUKÖY ARILIK,23,2025,Oğul (Kaynak Bilinmiyor),Bilinmiyor,,,,KOL-024,,23,23,XO2025,Üretim,sondu,2025-05-20,3,4,0,0,23,,23,,XO2025,,header,
KOL-025,ULUKÖY ARILIK,5,2025,Bölme,13,,KOL-017,KOL-017,KOL-017,13,5,5,13B2025,Üretim,sondu,2025-04-22,5,5,0,0,24,,5,,13B2025,13,header,
KOL-026,ULUKÖY ARILIK,5,2025,Bölme,20,,KOL-004,KOL-004,KOL-004,20,5,5,20B2025,Üretim,aktif,2025-06-08,5,8,0,0,25,,5,,F2024,20,first_note,Header F2024 iken ilk not kaynağı 20; kaynak nottan düzeltildi.
KOL-027,ULUKÖY ARILIK,39,2025,Bölme,3,,KOL-007,KOL-007,KOL-007,3,39,39,3B2025,Üretim,sondu,2025-06-08,5,8,0,0,26,,39,,3B2025,3,header,
